id,start_x,start_y,end_x,end_y
1WE,1,2,7,2
1EW,7,1,1,1
2WE,1,10,7,10
2EW,7,9,1,9
3WE,1,22,7,22
3EW,7,21,1,21
4WE,1,30,7,30
4EW,7,29,1,29
5WE,8,2,11,2
5EW,11,1,8,1
6WE,8,16,11,16
6EW,11,15,8,15
7WE,8,30,11,30
7EW,11,29,8,29
8WE,12,2,15,2
8EW,15,1,12,1
9WE,12,16,15,16
9EW,15,15,12,15
10WE,12,30,15,30
10EW,15,29,12,29
11WE,16,2,19,2
11EW,19,1,16,1
12WE,16,16,19,16
12EW,19,15,16,15
13WE,16,30,19,30
13EW,19,29,16,29
14WE,20,2,23,2
14EW,23,1,20,1
15WE,20,16,23,16
15EW,23,15,20,15
16WE,20,30,23,30
16EW,23,29,20,29
17WE,24,2,29,2
17EW,29,1,24,1
18WE,24,10,29,10
18EW,29,9,24,9
19WE,24,22,29,22
19EW,29,21,24,21
20WE,24,30,29,30
20EW,29,29,24,29
21NS,1,1,1,9
21SN,2,9,2,2
22NS,1,10,1,21
22SN,2,21,2,10
23NS,1,22,1,30
23SN,2,29,2,22
24NS,7,2,7,9
24SN,8,9,8,2
25NS,7,10,7,15
25SN,8,15,8,10
26NS,7,16,7,21
26SN,8,21,8,16
27NS,7,22,7,29
27SN,8,29,8,22
28NS,11,2,11,15
28SN,12,15,12,2
29NS,11,16,11,29
29SN,12,29,12,16
30NS,15,2,15,15
30SN,16,15,16,2
31NS,15,16,15,29
31SN,16,29,16,16
32NS,19,2,19,15
32SN,20,15,20,2
33NS,19,16,19,29
33SN,20,29,20,16
34NS,23,2,29,9
34SN,24,9,24,2
35NS,23,10,23,15
35SN,24,15,24,10
36NS,23,16,23,21
36SN,24,21,24,16
37NS,23,22,23,29
37SN,24,29,24,22
38NS,29,2,29,9
38SN,30,9,30,2
39NS,29,10,29,21
39SN,30,21,30,10
40NS,29,22,29,29
40SN,30,30,30,22
